feature_id,return_period_2,return_period_5,return_period_10,return_period_25,return_period_50,return_period_100
19515920,835.67,1369.74,1723.34,2170.12,2501.57,2830.57
19604615,118.51,183.04,225.77,279.76,319.81,359.57
19531724,155.99,233.29,284.46,349.12,397.09,444.71
21654200,148.55,286.57,377.95,493.41,579.06,664.08
21655464,199.92,348.22,446.41,570.47,662.51,753.86
21656498,218.1,374.08,477.36,607.84,704.64,800.73
21655568,219.56,377.14,481.48,613.3,711.09,808.17
10850310,1.8,3.52,4.66,6.09,7.16,8.21
4482903,19.68,42.37,57.4,76.38,90.46,104.43
18225339,49.1,88.07,113.88,146.48,170.66,194.67
4781759,52.23,122.23,168.58,227.14,270.58,313.71
880034,174.47,280.16,350.13,438.54,504.13,569.23
4782491,820.29,1499.24,1948.77,2516.74,2938.1,3356.34
2590243,2.7,6.67,9.29,12.61,15.06,17.51
4482695,3.19,6.8,9.19,12.2,14.44,16.66
3060622,14.05,26.55,34.82,45.27,53.02,60.72
10850046,17.77,26.94,33.01,40.68,46.37,52.02
3061602,32.63,68.45,92.17,122.14,144.38,166.45
2965566,42.63,73.98,94.74,120.96,140.42,159.73
18567389,54.56,94.19,120.43,153.58,178.18,202.59
4482885,48.78,104.58,141.53,188.21,222.84,257.22
4483015,67.07,145.3,197.09,262.54,311.09,359.28
4482999,75.63,179.48,248.24,335.12,399.57,463.55
18566201,105.59,193.49,251.68,325.21,379.76,433.91
10850144,123.27,194.7,241.99,301.74,346.06,390.06
18225427,116.47,204.96,263.55,337.58,392.49,447.01
2965578,139.6,218.23,270.3,336.08,384.88,433.32
20453378,86.98,242.25,345.05,474.94,571.3,666.94
21745087,148.05,341.74,469.98,632.01,752.21,871.52
4782107,408.33,878.46,1189.73,1583.02,1874.79,2164.39
2590277,1748.26,2799.57,3495.63,4375.11,5027.55,5675.18
20525511,4.08,9.65,13.33,17.98,21.44,24.86
3061736,9.45,19.59,26.3,34.78,41.07,47.31
4482733,25.67,57.67,78.85,105.62,125.47,145.18
10850162,46.0,82.35,106.41,136.82,159.38,181.77
10850156,54.9,89.07,111.69,140.27,161.47,182.52
18225411,91.13,162.53,209.8,269.53,313.83,357.82
18566179,119.65,226.35,297.0,386.27,452.49,518.23
15085965,735.05,1466.65,1951.04,2563.06,3017.1,3467.78
10850190,14.4,27.54,36.24,47.23,55.38,63.47
9499706,32.5,58.02,74.91,96.26,112.09,127.81
2590137,47.07,84.03,108.49,139.41,162.34,185.11
3059764,45.59,93.0,124.4,164.06,193.48,222.69
18566197,81.21,153.34,201.1,261.44,306.21,350.64
4781731,74.92,162.99,221.31,294.98,349.64,403.89
4480911,139.65,305.79,415.79,554.78,657.89,760.24
21746325,0.84,2.28,3.24,4.45,5.34,6.23
18566335,17.48,30.45,39.05,49.9,57.96,65.95
21739462,48.34,123.55,173.35,236.27,282.95,329.28
2965742,156.46,184.63,203.28,226.85,244.33,261.68
880196,157.1,253.54,317.4,398.08,457.93,517.35
4483013,126.07,281.16,383.85,513.59,609.84,705.38
18229157,188.41,303.87,380.32,476.9,548.56,619.69
4781261,164.5,350.68,473.96,629.71,745.26,859.95
3624041,6.53,10.02,12.33,15.25,17.41,19.56
3624313,18.01,29.89,37.76,47.7,55.07,62.4
6009476,47.49,76.9,96.38,120.99,139.24,157.36
